sentence,label,split,len,twenty,fifty
"CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",1,"['CDP', 'was', 'established', 'on', 'the', 'initiative', 'of', 'institutional', 'investors', ';', 'however', ',', 'the', 'annually', 'published', 'results', 'also', 'interest', 'an', 'increasing', 'number', 'of', 'customers', 'and', 'other', 'interest', 'groups', 'of', 'the', 'reporting', 'companies', '.']",32,7,16
"Tectia Corporation HEL : TEC1V , a provider of real-time security solutions , today announced that it has appointed LAN2LAN , a provider of IT services in the UK , to distribute its data security and manage file transfer software .",2,"['Tectia', 'Corporation', 'HEL', ':', 'TEC1V', ',', 'a', 'provider', 'of', 'real-time', 'security', 'solutions', ',', 'today', 'announced', 'that', 'it', 'has', 'appointed', 'LAN2LAN', ',', 'a', 'provider', 'of', 'IT', 'services', 'in', 'the', 'UK', ',', 'to', 'distribute', 'its', 'data', 'security', 'and', 'manage', 'file', 'transfer', 'software', '.']",41,9,21
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,0,"['Operating', 'profit', 'fell', 'from', 'EUR', '7.9', 'mn', 'in', 'the', 'second', 'quarter', 'of', '2005', 'to', 'EUR', '5.1', 'mn', 'in', 'the', 'second', 'quarter', 'of', '2006', '.']",24,5,12
"Together with Latvia , Cramo will operate 54 rental outlets in the Baltic States .",1,"['Together', 'with', 'Latvia', ',', 'Cramo', 'will', 'operate', '54', 'rental', 'outlets', 'in', 'the', 'Baltic', 'States', '.']",15,3,8
"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees .",1,"['In', '2006', 'the', 'company', ""'s"", 'net', 'sales', 'amounted', 'to', 'approximately', 'EUR259m', 'and', 'it', 'has', 'some', '8,000', 'employees', '.']",18,4,9
"Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 .",1,"['Master', 'of', 'Mayawas', 'jointly', 'developed', 'by', 'Nokia', 'Siemens', 'Networks', 'and', 'UFA', '-', 'FremantleMedia', ',', 'and', 'will', 'be', 'actively', 'advertised', 'by', 'Maxis', 'in', 'the', 'end', 'of', 'May', '2007', '.']",28,6,14
A total of 140 jobs will be reduced at the Raahe Steel Works .,0,"['A', 'total', 'of', '140', 'jobs', 'will', 'be', 'reduced', 'at', 'the', 'Raahe', 'Steel', 'Works', '.']",14,3,7
"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",2,"['(', 'ADP', 'News', ')', '-', 'Feb', '12', ',', '2009', '-', 'Finnish', 'IT', 'solutions', 'provider', 'Affecto', 'Oyj', '(', 'HEL', ':', 'AFE1V', ')', 'said', 'today', 'its', 'net', 'profit', 'rose', 'to', 'EUR', '8.5', 'million', '(', 'USD', '11m', ')', 'in', '2008', 'from', 'EUR', '7', 'million', 'in', '2007', '.']",44,9,22
"Via the agreement , Ramirent will expand the range of equipment and services it delivers to Destia , Ramirent Finland 's managing director Kari Aulasmaa , said .",2,"['Via', 'the', 'agreement', ',', 'Ramirent', 'will', 'expand', 'the', 'range', 'of', 'equipment', 'and', 'services', 'it', 'delivers', 'to', 'Destia', ',', 'Ramirent', 'Finland', ""'s"", 'managing', 'director', 'Kari', 'Aulasmaa', ',', 'said', '.']",28,6,14
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,0,"['Diluted', 'earnings', 'per', 'share', '(', 'EPS', ')', 'fell', 'to', 'EUR', '0.63', 'from', 'EUR', '1.71', '.']",15,3,8
"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",0,"['Finnish', 'Vaahto', 'Group', 'that', 'provides', 'paper-making', 'technology', 'and', 'process', 'machinery', 'is', 'starting', 'negotiations', 'concerning', 'the', 'temporary', 'lay-offs', 'of', 'all', '140', 'employees', 'at', 'the', 'company', ""'s"", 'plants', 'in', 'Hollola', 'and', 'Tampere', ',', 'in', 'Finland', '.']",34,7,17
"Finnish property investor Sponda said it has agreed a 100 mln eur , five-year mln credit facility with Swedbank and a 50 mln eur , seven-year facility with OKO Bank .",1,"['Finnish', 'property', 'investor', 'Sponda', 'said', 'it', 'has', 'agreed', 'a', '100', 'mln', 'eur', ',', 'five-year', 'mln', 'credit', 'facility', 'with', 'Swedbank', 'and', 'a', '50', 'mln', 'eur', ',', 'seven-year', 'facility', 'with', 'OKO', 'Bank', '.']",31,7,16
The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008 .,0,"['The', 'total', 'capital', 'of', 'funds', 'managed', 'by', 'the', 'bank', 'decreased', 'by', '28', '%', 'to', 'EUR', '284mn', 'by', 'the', 'end', 'of', 'September', '2008', '.']",23,5,12
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,1,"['Mr.', 'Doring', 'has', 'been', 'with', 'Eaton', 'since', '1989', 'and', 'acted', 'as', 'the', 'Business', 'Unit', 'Manager', 'for', 'Eaton', ""'s"", 'Power', 'Controls', 'Business', 'Unit', 'since', 'January', '2007', '.']",26,6,13
It also recovers valuable raw material for Kemira 's water chemical production .,1,"['It', 'also', 'recovers', 'valuable', 'raw', 'material', 'for', 'Kemira', ""'s"", 'water', 'chemical', 'production', '.']",13,3,7
We are very proud to be able to use this kind of innovative mobile service for voting in elections .,2,"['We', 'are', 'very', 'proud', 'to', 'be', 'able', 'to', 'use', 'this', 'kind', 'of', 'innovative', 'mobile', 'service', 'for', 'voting', 'in', 'elections', '.']",20,4,10
Country : ; Germany Sector : Construction-Real Estate ; Machinery-Engineering Target : Caverion GmbH Buyer : YIT Oyj Deal size in USD : 90.3 m Type : Corporate acquisition Status : Agreed,1,"['Country', ':', ';', 'Germany', 'Sector', ':', 'Construction-Real', 'Estate', ';', 'Machinery-Engineering', 'Target', ':', 'Caverion', 'GmbH', 'Buyer', ':', 'YIT', 'Oyj', 'Deal', 'size', 'in', 'USD', ':', '90.3', 'm', 'Type', ':', 'Corporate', 'acquisition', 'Status', ':', 'Agreed']",32,7,16
"Finnish engineering and technology company Metso Oyj said on May 27 , 2008 it completed the acquisition of paper machinery technology from Japanese engineering company Mitsubishi Heavy Industries ( MHI ) for an undisclosed sum .",2,"['Finnish', 'engineering', 'and', 'technology', 'company', 'Metso', 'Oyj', 'said', 'on', 'May', '27', ',', '2008', 'it', 'completed', 'the', 'acquisition', 'of', 'paper', 'machinery', 'technology', 'from', 'Japanese', 'engineering', 'company', 'Mitsubishi', 'Heavy', 'Industries', '(', 'MHI', ')', 'for', 'an', 'undisclosed', 'sum', '.']",36,8,18
The number of customers is one of the most important parameters in determining the price of electricity networks .,1,"['The', 'number', 'of', 'customers', 'is', 'one', 'of', 'the', 'most', 'important', 'parameters', 'in', 'determining', 'the', 'price', 'of', 'electricity', 'networks', '.']",19,4,10
"The reason for this is St. Petersburg status as a capital , one of the participants in the meeting quoted Chikunov as saying .",1,"['The', 'reason', 'for', 'this', 'is', 'St.', 'Petersburg', 'status', 'as', 'a', 'capital', ',', 'one', 'of', 'the', 'participants', 'in', 'the', 'meeting', 'quoted', 'Chikunov', 'as', 'saying', '.']",24,5,12
"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation .",2,"['After', 'the', 'reporting', 'period', ',', 'BioTie', 'North', 'American', 'licensing', 'partner', 'Somaxon', 'Pharmaceuticals', 'announced', 'positive', 'results', 'with', 'nalmefene', 'in', 'a', 'pilot', 'Phase', '2', 'clinical', 'trial', 'for', 'smoking', 'cessation', '.']",28,6,14
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,2,"['The', 'robust', 'growth', 'was', 'the', 'result', 'of', 'the', 'inclusion', 'of', 'clothing', 'chain', 'Lindex', 'in', 'the', 'Group', 'in', 'December', '2007', '.']",20,4,10
"The Estonian beverages maker A. Le Coq today brought to the market a new premium class beer , A. Le Coq Special , investing 6 million kroons EUR 383,000 into its development and planning to sell three million liters of the beer during the next year .",1,"['The', 'Estonian', 'beverages', 'maker', 'A.', 'Le', 'Coq', 'today', 'brought', 'to', 'the', 'market', 'a', 'new', 'premium', 'class', 'beer', ',', 'A.', 'Le', 'Coq', 'Special', ',', 'investing', '6', 'million', 'kroons', 'EUR', '383,000', 'into', 'its', 'development', 'and', 'planning', 'to', 'sell', 'three', 'million', 'liters', 'of', 'the', 'beer', 'during', 'the', 'next', 'year', '.']",47,10,24
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",2,"['STORA', 'ENSO', ',', 'NORSKE', 'SKOG', ',', 'M-REAL', ',', 'UPM-KYMMENE', 'Credit', 'Suisse', 'First', 'Boston', '(', 'CFSB', ')', 'raised', 'the', 'fair', 'value', 'for', 'shares', 'in', 'four', 'of', 'the', 'largest', 'Nordic', 'forestry', 'groups', '.']",31,7,16
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",0,"['Finnish', 'GeoSentric', ""'s"", 'net', 'sales', 'decreased', 'to', 'EUR', '939,000', 'in', 'January-March', '2009', '.']",13,3,7
The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR93 .9 m as given in the interim report on 5 August 2009 .,0,"['The', 'company', 'confirmed', 'its', 'estimate', 'for', 'lower', 'revenue', 'for', 'the', 'whole', '2009', 'than', 'the', 'year-ago', 'EUR93', '.9', 'm', 'as', 'given', 'in', 'the', 'interim', 'report', 'on', '5', 'August', '2009', '.']",29,6,15
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,0,"['Finnair', 'said', 'that', 'the', 'cancellation', 'of', 'flights', 'would', 'cause', 'daily', 'losses', 'of', '', 'x20ac', '2.5', 'million', 'US$', '3', 'million', '.']",20,4,10
"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn .",0,"['Operating', 'profit', 'fell', 'to', 'EUR', '35.4', 'mn', 'from', 'EUR', '68.8', 'mn', 'in', '2007', ',', 'including', 'vessel', 'sales', 'gain', 'of', 'EUR', '12.3', 'mn', '.']",23,5,12
"The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % .",1,"['The', 'chilled', 'meat', 'products', 'category', 'led', 'the', 'meat', ',', 'fish', 'and', 'poultry', 'market', 'in', 'Finland', ',', 'accounting', 'for', 'a', 'share', 'of', '31.4', '%', '.']",24,5,12
No financial details were available .,1,"['No', 'financial', 'details', 'were', 'available', '.']",6,2,3
"Finnish silicon wafers maker Okmetic Oyj said on September 17 , 2008 that it will invest a total of 15 mln euro $ 21.3 mln in its sensor wafer business .",1,"['Finnish', 'silicon', 'wafers', 'maker', 'Okmetic', 'Oyj', 'said', 'on', 'September', '17', ',', '2008', 'that', 'it', 'will', 'invest', 'a', 'total', 'of', '15', 'mln', 'euro', '$', '21.3', 'mln', 'in', 'its', 'sensor', 'wafer', 'business', '.']",31,7,16
TietoEnator signed an agreement to acquire Indian research and development ( R&D ) services provider and turnkey software solutions developer Fortuna Technologies Pvt. Ltd. for 21 mln euro ( $ 30.3 mln ) in September 2007 .,1,"['TietoEnator', 'signed', 'an', 'agreement', 'to', 'acquire', 'Indian', 'research', 'and', 'development', '(', 'R&D', ')', 'services', 'provider', 'and', 'turnkey', 'software', 'solutions', 'developer', 'Fortuna', 'Technologies', 'Pvt.', 'Ltd.', 'for', '21', 'mln', 'euro', '(', '$', '30.3', 'mln', ')', 'in', 'September', '2007', '.']",37,8,19
The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website .,1,"['The', 'terms', 'and', 'conditions', 'of', 'Stock', 'Option', 'Scheme', '2004', 'are', 'available', 'on', 'the', 'Group', ""'s"", 'website', '.']",17,4,9
"Outokumpu of Finland , stainless steel manufacturer , plans to enter into a supply agreement with the Indian Railways .",2,"['Outokumpu', 'of', 'Finland', ',', 'stainless', 'steel', 'manufacturer', ',', 'plans', 'to', 'enter', 'into', 'a', 'supply', 'agreement', 'with', 'the', 'Indian', 'Railways', '.']",20,4,10
"The contracts between Raute Corporation and Muling Kemian Wood Products Co. , Ltd. , which were announced on 3 November 2010 , have taken effect .",1,"['The', 'contracts', 'between', 'Raute', 'Corporation', 'and', 'Muling', 'Kemian', 'Wood', 'Products', 'Co.', ',', 'Ltd.', ',', 'which', 'were', 'announced', 'on', '3', 'November', '2010', ',', 'have', 'taken', 'effect', '.']",26,6,13
"Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007 .",1,"['Exel', ""'s"", 'board', 'of', 'directors', 'will', 'propose', 'a', 'dividend', 'of', '0.2', 'euro', '$', '0.3', 'per', 'share', 'for', '2006', 'at', 'the', 'annual', 'general', 'meeting', 'on', 'April', '19', ',', '2007', '.']",29,6,15
"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 .",0,"['Profit', 'for', 'the', 'period', 'totalled', 'EUR', '1.1', 'mn', ',', 'down', 'from', 'EUR', '1.6', 'mn', 'in', 'the', 'third', 'quarter', 'of', '2008', '.']",21,5,11
The trucks feature an Eco Drive system - a fuel measuring tool which stores data particular to individual drivers .,1,"['The', 'trucks', 'feature', 'an', 'Eco', 'Drive', 'system', '-', 'a', 'fuel', 'measuring', 'tool', 'which', 'stores', 'data', 'particular', 'to', 'individual', 'drivers', '.']",20,4,10
"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .",0,"['Operating', 'profit', 'for', 'the', '12-month', 'period', 'decreased', 'from', 'EUR17', '.9', 'm', 'while', 'net', 'sales', 'increased', 'from', 'EUR58', '.3', 'm', ',', 'as', 'compared', 'to', '2007', '.']",25,5,13
Wellness services will be important in the future .,1,"['Wellness', 'services', 'will', 'be', 'important', 'in', 'the', 'future', '.']",9,2,5
Fiskars will be undertaking community projects throughout the UK and they are also on the lookout for local volunteers who are interested in helping out with the selected restoration projects .,1,"['Fiskars', 'will', 'be', 'undertaking', 'community', 'projects', 'throughout', 'the', 'UK', 'and', 'they', 'are', 'also', 'on', 'the', 'lookout', 'for', 'local', 'volunteers', 'who', 'are', 'interested', 'in', 'helping', 'out', 'with', 'the', 'selected', 'restoration', 'projects', '.']",31,7,16
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,0,"['18', 'March', '2010', 'A', 'leakage', 'in', 'the', 'gypsum', 'pond', 'was', 'detected', 'today', 'at', 'the', 'Talvivaara', 'mine', '.']",17,4,9
"`` The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion , '' UPM said .",1,"['``', 'The', 'enterprise', 'value', 'of', 'the', 'Fray', 'Bentos', 'pulp', 'mill', 'and', 'Forestal', 'Oriental', 'totals', 'approximately', 'euro1', '.6', 'billion', ',', ""''"", 'UPM', 'said', '.']",23,5,12
Around 250 of these reductions will be implemented through pension arrangements .,1,"['Around', '250', 'of', 'these', 'reductions', 'will', 'be', 'implemented', 'through', 'pension', 'arrangements', '.']",12,3,6
"The long-standing partnership and commitment enable both parties to develop their respective operations , and ESL Shipping will also have the opportunity to update its fleet and improve its efficiency .",2,"['The', 'long-standing', 'partnership', 'and', 'commitment', 'enable', 'both', 'parties', 'to', 'develop', 'their', 'respective', 'operations', ',', 'and', 'ESL', 'Shipping', 'will', 'also', 'have', 'the', 'opportunity', 'to', 'update', 'its', 'fleet', 'and', 'improve', 'its', 'efficiency', '.']",31,7,16
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",0,"['In', 'January-June', '2010', ',', 'diluted', 'loss', 'per', 'share', 'stood', 'at', 'EUR0', '.3', 'versus', 'EUR0', '.1', 'in', 'the', 'first', 'half', 'of', '2009', '.']",22,5,11
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,0,"['Operating', 'profit', 'in', 'the', 'fourth', 'quarter', 'fell', 'to', 'EUR33m', 'from', 'EUR39m', 'a', 'year', 'earlier', '.']",15,3,8
"Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets .",1,"['Only', 'this', 'time', ',', 'Nokia', ',', 'India', ""'s"", 'largest', 'MNC', ',', 'has', 'sought', 'out', 'a', 'topic', 'that', 'could', 'spark', 'off', 'a', 'million', 'approaches', '`', 'Creativity', 'in', 'Emerging', 'Markets', '.']",29,6,15
Sales increased due to growing market rates and increased operations .,2,"['Sales', 'increased', 'due', 'to', 'growing', 'market', 'rates', 'and', 'increased', 'operations', '.']",11,3,6
"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .",2,"['The', 'price', 'of', 'raw', 'material', 'aluminium', 'went', 'up', 'at', 'the', 'end', 'of', '2005', ',', 'but', 'the', 'company', 'considers', 'its', 'outlook', 'for', '2006', 'favourable', '.']",24,5,12
- The Group -¦ s result before taxes was a loss of EUR 0.6 ( +0.6 ) million .,1,"['-', 'The', 'Group', '-¦', 's', 'result', 'before', 'taxes', 'was', 'a', 'loss', 'of', 'EUR', '0.6', '(', '+0.6', ')', 'million', '.']",19,4,10
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",2,"['Digia', 'said', 'its', 'consolidated', 'net', 'sales', 'for', 'January-June', '2010', 'were', 'EUR67', '.8', 'm', ',', 'up', '9.7', '%', 'on', 'the', 'same', 'period', 'in', '2009', '(', 'EUR61', '.9', 'm', ')', '.']",29,6,15
"`` EB Tough VoIP was designed to fulfill the communications needs of military units , and we continue to strive towards achieving that goal , '' Mikko Viitaniemi , EB Elektrobit Defense Products , Wireless Solutions senior manager , said in a statement .",1,"['``', 'EB', 'Tough', 'VoIP', 'was', 'designed', 'to', 'fulfill', 'the', 'communications', 'needs', 'of', 'military', 'units', ',', 'and', 'we', 'continue', 'to', 'strive', 'towards', 'achieving', 'that', 'goal', ',', ""''"", 'Mikko', 'Viitaniemi', ',', 'EB', 'Elektrobit', 'Defense', 'Products', ',', 'Wireless', 'Solutions', 'senior', 'manager', ',', 'said', 'in', 'a', 'statement', '.']",44,9,22
The Swedish player became majority owner of UCell in mid-2007 .,1,"['The', 'Swedish', 'player', 'became', 'majority', 'owner', 'of', 'UCell', 'in', 'mid-2007', '.']",11,3,6
( I&H ) in a move to enhance growth .,2,"['(', 'I&H', ')', 'in', 'a', 'move', 'to', 'enhance', 'growth', '.']",10,2,5
"UPM is the biggest producer of magazine paper in Europe , with a market share of over 30 pct , and it is likely to say that prices in the segment were at best flat during the quarter , analysts said .",1,"['UPM', 'is', 'the', 'biggest', 'producer', 'of', 'magazine', 'paper', 'in', 'Europe', ',', 'with', 'a', 'market', 'share', 'of', 'over', '30', 'pct', ',', 'and', 'it', 'is', 'likely', 'to', 'say', 'that', 'prices', 'in', 'the', 'segment', 'were', 'at', 'best', 'flat', 'during', 'the', 'quarter', ',', 'analysts', 'said', '.']",42,9,21
"The third applicant , Fortum , was dropped .",1,"['The', 'third', 'applicant', ',', 'Fortum', ',', 'was', 'dropped', '.']",9,2,5
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,1,"['The', 'business', 'to', 'be', 'divested', 'generates', 'consolidated', 'net', 'sales', 'of', 'EUR', '60', 'million', 'annually', 'and', 'currently', 'has', 'some', '640', 'employees', '.']",21,5,11
26 January 2011 - Finnish software solutions provider Basware ( HEL : BAS1V ) said yesterday it adjusted its strategy and goals for the next four years with focus on international growth mainly via acquisitions .,1,"['26', 'January', '2011', '-', 'Finnish', 'software', 'solutions', 'provider', 'Basware', '(', 'HEL', ':', 'BAS1V', ')', 'said', 'yesterday', 'it', 'adjusted', 'its', 'strategy', 'and', 'goals', 'for', 'the', 'next', 'four', 'years', 'with', 'focus', 'on', 'international', 'growth', 'mainly', 'via', 'acquisitions', '.']",36,8,18
"The Group 's consolidated net sales for 2008 totaled 3.4 billion euros and it employs approximately 13,000 persons .",1,"['The', 'Group', ""'s"", 'consolidated', 'net', 'sales', 'for', '2008', 'totaled', '3.4', 'billion', 'euros', 'and', 'it', 'employs', 'approximately', '13,000', 'persons', '.']",19,4,10
Sales were down 14 per cent in Finland and up 27 per cent abroad where sales were lifted by the strong growth in sales in Russia and Lithuania .,1,"['Sales', 'were', 'down', '14', 'per', 'cent', 'in', 'Finland', 'and', 'up', '27', 'per', 'cent', 'abroad', 'where', 'sales', 'were', 'lifted', 'by', 'the', 'strong', 'growth', 'in', 'sales', 'in', 'Russia', 'and', 'Lithuania', '.']",29,6,15
UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .,0,"['UPM', 'stock', 'fell', '3', 'percent', 'to', 'EURO', '12.49', '$', '17.24', 'in', 'early', 'afternoon', 'trading', 'in', 'Helsinki', '.']",17,4,9
"Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006 .",2,"['Profit', 'for', 'the', 'period', 'totaled', 'EUR', '39.4', 'mn', ',', 'up', 'from', 'EUR', '33.9', 'mn', 'in', 'the', 'corresponding', 'period', 'in', '2006', '.']",21,5,11
Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .,2,"['Finnish', 'KCI', 'Konecranes', 'has', 'been', 'awarded', 'an', 'order', 'for', 'four', 'hot', 'metal', 'ladle', 'cranes', 'by', 'Indian', 'steel', 'producer', 'Bhushan', 'Steel', '&', 'Strips', 'to', 'be', 'delivered', 'in', '2007', '.']",28,6,14
"At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions .",1,"['At', 'first', ',', 'Solteq', ""'s"", 'services', 'to', 'companies', 'operating', 'in', 'the', 'St.', 'Petersburg', 'area', 'will', 'include', 'maintenance', 'and', 'material', 'management', 'systems', 'and', 'data', 'collection', 'solutions', '.']",26,6,13
"The CL51 is designed to measure cloud base height and vertical visibility in all weather conditions , which makes it an ideal instrument for meteorological applications that rely on reliable cloud height detection .",2,"['The', 'CL51', 'is', 'designed', 'to', 'measure', 'cloud', 'base', 'height', 'and', 'vertical', 'visibility', 'in', 'all', 'weather', 'conditions', ',', 'which', 'makes', 'it', 'an', 'ideal', 'instrument', 'for', 'meteorological', 'applications', 'that', 'rely', 'on', 'reliable', 'cloud', 'height', 'detection', '.']",34,7,17
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,1,"['Both', 'Mr', 'Walden', 'and', 'Mr', 'Ignatius', 'will', 'be', 'responsible', 'also', 'for', 'the', 'newspapers', ""'"", 'business', 'result', '.']",17,4,9
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",2,"['Kesko', 'Agro', 'Eesti', ',', 'the', 'retailer', 'and', 'wholesaler', 'of', 'grain', ',', 'agricultural', 'and', 'warehousing', 'machinery', 'and', 'accessories', ',', 'had', 'net', 'sales', 'of', '81', 'million', 'euros', 'in', '2007', ',', 'an', 'increase', 'by', 'one-tenth', 'over', 'the', 'preceding', 'year', '.']",37,8,19
Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .,0,"['Stora', 'Chief', 'Executive', 'Jouko', 'Karvinen', 'has', 'described', 'the', 'Russian', 'tariff', 'hikes', 'as', 'a', 'threat', 'to', 'the', 'future', 'of', 'the', 'forest', 'products', 'industry', 'in', 'Finland', '.']",25,5,13
Aspo serves demanding business-to-business customers .,1,"['Aspo', 'serves', 'demanding', 'business-to-business', 'customers', '.']",6,2,3
Finnish plastic pipe maker Uponor is selling its Irish and UK infrastructure businesses to private equity company 3i .,1,"['Finnish', 'plastic', 'pipe', 'maker', 'Uponor', 'is', 'selling', 'its', 'Irish', 'and', 'UK', 'infrastructure', 'businesses', 'to', 'private', 'equity', 'company', '3i', '.']",19,4,10
Basware Einvoices Oy will be merged into the parent company during the present fiscal period .,1,"['Basware', 'Einvoices', 'Oy', 'will', 'be', 'merged', 'into', 'the', 'parent', 'company', 'during', 'the', 'present', 'fiscal', 'period', '.']",16,4,8
Odell has not contacted the State of Finland in this issue .,1,"['Odell', 'has', 'not', 'contacted', 'the', 'State', 'of', 'Finland', 'in', 'this', 'issue', '.']",12,3,6
